open_nocancel("longtest.txt\0", 0x0, 0x1B6)		 = 3 0
fstat64(0x3, 0x7FFF5FBFF150, 0x0)		 = 0 0
open_nocancel("out.txt\0", 0x601, 0x1B6)		 = 4 0
fstat64(0x4, 0x7FFF5FBFF150, 0x0)		 = 0 0
fstat64(0x3, 0x7FFF5FBFF270, 0x0)		 = 0 0
lseek(0x3, 0x0, 0x1)		 = 0 0
lseek(0x3, 0x0, 0x1)		 = 0 0
fstat64(0x3, 0x7FFF5FBFF1B0, 0x7FFF5FBFF27C)		 = 0 0
read_nocancel(0x3, "This file contains >20k characters. It has all sorts of text but one important thing is the point at which 256 characters have been reached. This is still not there right now, I will put three stars as characters number 254, 255, and 256 in this file.  ***", 0x56C4)		 = 22211 0
read_nocancel(0x3, "ncess Bolkonskaya, known as la\r\n\r\nfemme la plus seduisante de Petersbourg, * was also there. She had been\r\n\r\nmarried during the previous winter, and being pregnant did not go to\r\n\r\nany large gatherings, but only to small receptions. Prince Vasili's son,\r\n\r", 0x1)		 = 0 0
fstat64(0x4, 0x7FFF5FBFF110, 0x7FFF5FBFF1DC)		 = 0 0
write_nocancel(0x4, "This file contains >20k characters. It has all sorts of text but one important thing is the point at which 256 characters have been reached. This is still not there right now, I will put three stars as characters number 254, 255, and 256 in this file.  ***", 0x1000)		 = 4096 0
write_nocancel(0x4, "s be prettier than anyone else,\"\r\n\r\nreplied Anna Pavlovna.\r\n\r\n\r\n\r\n\"You know,\" said the princess in the same tone of voice and still in\r\n\r\nFrench, turning to a general, \"my husband is deserting me? He is going\r\n\r\nto get himself killed. Tell me what this wre", 0x1000)		 = 4096 0
write_nocancel(0x4, "way to look, afraid of missing any\r\n\r\nclever conversation that was to be heard. Seeing the self-confident and\r\n\r\nrefined expression on the faces of those present he was always expecting\r\n\r\nto hear something very profound. At last he came up to Morio. Here ", 0x1000)		 = 4096 0
write_nocancel(0x4, "my ability before such an audience,\" said he, smilingly\r\n\r\ninclining his head.\r\n\r\n\r\n\r\nThe princess rested her bare round arm on a little table and considered\r\n\r\na reply unnecessary. She smilingly waited. All the time the story was\r\n\r\nbeing told she sat upr", 0x1000)		 = 4096 0
write_nocancel(0x4, " by the young\r\n\r\nman's simple-minded eagerness, was explaining his pet theory. Both were\r\n\r\ntalking and listening too eagerly and too naturally, which was why Anna\r\n\r\nPavlovna disapproved.\r\n\r\n\r\n\r\n\"The means are... the balance of power in Europe and the rig", 0x1000)		 = 4096 0
close_nocancel(0x3)		 = 0 0
write_nocancel(0x4, "etween the chairs, lightly\r\n\r\nholding up the folds of her dress, and the smile shone still more\r\n\r\nradiantly on her beautiful face. Pierre gazed at her with rapturous,\r\n\r\nalmost frightened, eyes as she passed him.\r\n\r\n\r\n\r\n\"Very lovely,\" said Prince Andrew.\r", 0x6C3)		 = 1731 0
close_nocancel(0x4)		 = 0 0
